"","p.geomean","stat.mean","p.val","q.val","set.size","exp1"
"GO:0006091 generation of precursor metabolites and energy",1.69572980934657e-07,-5.14773979686889,1.69572980934659e-07,0.000736285883218288,450,1.69572980934657e-07
"GO:0006412 translation",1.31426668653727e-05,-4.23200044990689,1.31426668653727e-05,0.0285327297647242,458,1.31426668653727e-05
"GO:0015980 energy derivation by oxidation of organic compounds",2.50196622679713e-05,-4.08865220477689,2.50196622679714e-05,0.0294471564296246,329,2.50196622679713e-05
"GO:0034660 ncRNA metabolic process",4.59862893708073e-05,-3.95791590590453,4.59862893708076e-05,0.0294471564296246,288,4.59862893708073e-05
"GO:0008380 RNA splicing",4.78777454550392e-05,-3.94473885146615,4.78777454550392e-05,0.0294471564296246,319,4.78777454550392e-05
"GO:0045333 cellular respiration",4.83533834512274e-05,-3.97622684443398,4.83533834512275e-05,0.0294471564296246,162,4.83533834512274e-05
"GO:0019941 modification-dependent protein catabolic process",5.80054642037667e-05,-3.88148085469977,5.80054642037666e-05,0.0294471564296246,387,5.80054642037667e-05
"GO:0043632 modification-dependent macromolecule catabolic process",6.08231136611924e-05,-3.8694628213384,6.08231136611928e-05,0.0294471564296246,390,6.08231136611924e-05
"GO:0006397 mRNA processing",6.10374039305898e-05,-3.87090519678394,6.10374039305899e-05,0.0294471564296246,393,6.10374039305897e-05
"GO:0006511 ubiquitin-dependent protein catabolic process",6.79453322156773e-05,-3.84218900197657,6.79453322156774e-05,0.0295018632480471,381,6.79453322156773e-05
"GO:0061024 membrane organization",8.1308774719902e-05,-3.79015233006005,8.1308774719902e-05,0.0320947908939831,428,8.1308774719902e-05
"GO:0022900 electron transport chain",9.14403640885857e-05,-3.81414462716653,9.14403640885858e-05,0.0329215683107705,149,9.14403640885857e-05
"GO:0006520 cellular amino acid metabolic process",0.000119300449513607,-3.69055259052187,0.000119300449513607,0.0329215683107705,457,0.000119300449513607
"GO:0016044 cellular membrane organization",0.000119822825667036,-3.69105050659518,0.000119822825667036,0.0329215683107705,423,0.000119822825667036
"GO:0009100 glycoprotein metabolic process",0.000127994319478061,-3.6778365481815,0.000127994319478062,0.0329215683107705,364,0.000127994319478061
"GO:0000375 RNA splicing, via transesterification reactions",0.000147235006686317,-3.67379174459373,0.000147235006686318,0.0329215683107705,212,0.000147235006686318
"GO:0006605 protein targeting",0.000151636579743419,-3.62887404932999,0.000151636579743419,0.0329215683107705,480,0.000151636579743419
"GO:0035295 tube development",0.000161492791283575,-3.61193266079209,0.000161492791283575,0.0329215683107705,430,0.000161492791283575
"GO:0048193 Golgi vesicle transport",0.000164370575621673,-3.6511451319928,0.000164370575621673,0.0329215683107705,181,0.000164370575621673
"GO:0006643 membrane lipid metabolic process",0.000168051076027812,-3.63737590657078,0.000168051076027812,0.0329215683107705,160,0.000168051076027812
"GO:0044257 cellular protein catabolic process",0.000175727365636951,-3.59290809430228,0.000175727365636951,0.0329215683107705,422,0.000175727365636951
"GO:0007507 heart development",0.00017907782071778,-3.5870707303859,0.000179077820717779,0.0329215683107705,384,0.000179077820717779
"GO:0051603 proteolysis involved in cellular protein catabolic process",0.000188893207671821,-3.57469838003578,0.000188893207671822,0.0329215683107705,408,0.000188893207671821
"GO:0019318 hexose metabolic process",0.00020256768305019,-3.56882165497703,0.00020256768305019,0.0329215683107705,245,0.00020256768305019
"GO:0006457 protein folding",0.00020379493496358,-3.56967720525295,0.00020379493496358,0.0329215683107705,213,0.00020379493496358
"GO:0000377 RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",0.000204717260338738,-3.58516350289984,0.000204717260338739,0.0329215683107705,207,0.000204717260338738
"GO:0000398 mRNA splicing, via spliceosome",0.000204717260338738,-3.58516350289984,0.000204717260338739,0.0329215683107705,207,0.000204717260338738
"GO:0006006 glucose metabolic process",0.000277065549712713,-3.48880712933812,0.000277065549712713,0.0417087299997946,209,0.000277065549712713
"GO:0006790 sulfur compound metabolic process",0.000278570513586836,-3.48007682172344,0.000278570513586836,0.0417087299997946,229,0.000278570513586836
"GO:0007005 mitochondrion organization",0.000293016790879016,-3.47168743533822,0.000293016790879016,0.0424092968665562,237,0.000293016790879017
"GO:0060271 cilium morphogenesis",0.000318059000468284,-3.49501546549651,0.000318059000468283,0.0442887291028904,107,0.000318059000468284
"GO:0022613 ribonucleoprotein complex biogenesis",0.00033195477164137,-3.442406918125,0.000331954771641371,0.0442887291028904,231,0.00033195477164137
