"","p.geomean","stat.mean","p.val","q.val","set.size","exp1"
"GO:0046649 lymphocyte activation",2.82932465016438e-17,8.5623092816931,2.82932465016438e-17,1.22849276310137e-13,459,2.82932465016438e-17
"GO:0042110 T cell activation",2.9142438281467e-14,7.69642333607631,2.91424382814671e-14,6.32682335090651e-11,330,2.9142438281467e-14
"GO:0050778 positive regulation of immune response",5.05753632160263e-13,7.27802354306048,5.05753632160265e-13,7.20193447990337e-10,347,5.05753632160263e-13
"GO:0051249 regulation of lymphocyte activation",6.63467017955168e-13,7.27622001138522,6.6346701795517e-13,7.20193447990337e-10,285,6.63467017955168e-13
"GO:0002694 regulation of leukocyte activation",9.6993650103954e-13,7.19375011448127,9.69936501039545e-13,8.42292857502741e-10,325,9.6993650103954e-13
"GO:0050865 regulation of cell activation",1.83906311954538e-12,7.0859395490105,1.83906311954541e-12,1.33086867751103e-09,350,1.83906311954539e-12
"GO:0050863 regulation of T cell activation",3.20307184069019e-11,6.72177081952787,3.20307184069022e-11,1.98681970461099e-08,217,3.2030718406902e-11
"GO:0002250 adaptive immune response",1.23874000462482e-10,6.52954871885799,1.23874000462483e-10,6.72326137510128e-08,187,1.23874000462482e-10
"GO:0002253 activation of immune response",5.76795933798331e-10,6.20051304156318,5.76795933798333e-10,2.58948626233968e-07,281,5.76795933798332e-10
"GO:0030098 lymphocyte differentiation",6.59392689078476e-10,6.21061740072462,6.59392689078476e-10,2.58948626233968e-07,227,6.59392689078477e-10
"GO:0002252 immune effector process",6.60462987742045e-10,6.13304970495539,6.6046298774205e-10,2.58948626233968e-07,442,6.60462987742045e-10
"GO:0002768 immune response-regulating cell surface receptor signaling pathway",7.15657189039064e-10,6.30744696897423,7.15657189039065e-10,2.58948626233968e-07,134,7.15657189039064e-10
"GO:0050867 positive regulation of cell activation",1.0599829214506e-09,6.12029749196164,1.05998292145061e-09,3.39399141599388e-07,230,1.0599829214506e-09
"GO:0002696 positive regulation of leukocyte activation",1.15927558401971e-09,6.11186915746857,1.15927558401971e-09,3.39399141599388e-07,220,1.15927558401972e-09
"GO:0002460 adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",1.17249818608724e-09,6.16077300560007,1.17249818608724e-09,3.39399141599388e-07,169,1.17249818608724e-09
"GO:0002429 immune response-activating cell surface receptor signaling pathway",2.11546775641911e-09,6.12810412375596,2.11546775641912e-09,5.33898606119224e-07,124,2.11546775641911e-09
"GO:0051251 positive regulation of lymphocyte activation",2.12686645188894e-09,6.0177905568055,2.12686645188894e-09,5.33898606119224e-07,203,2.12686645188894e-09
"GO:0050870 positive regulation of T cell activation",2.21330605945326e-09,6.05529270826957,2.21330605945326e-09,5.33898606119224e-07,160,2.21330605945327e-09
"GO:0002764 immune response-regulating signaling pathway",2.76493077791568e-09,5.94886138355569,2.76493077791566e-09,6.3185944408999e-07,241,2.76493077791568e-09
"GO:0042113 B cell activation",4.48503598390918e-09,5.93593278643511,4.48503598390921e-09,9.7370131210669e-07,169,4.48503598390918e-09
"GO:0050851 antigen receptor-mediated signaling pathway",5.10396951793995e-09,5.98246719626842,5.10396951794002e-09,1.05530645937598e-06,116,5.10396951793995e-09
"GO:0046651 lymphocyte proliferation",5.97934478920914e-09,5.85923637981363,5.9793447892091e-09,1.18010523067027e-06,180,5.97934478920915e-09
"GO:0032943 mononuclear cell proliferation",8.73595504634497e-09,5.78710768329071,8.7359550463449e-09,1.6343311134659e-06,182,8.73595504634496e-09
"GO:0002757 immune response-activating signal transduction",9.03361278746691e-09,5.74193162790003,9.03361278746695e-09,1.6343311134659e-06,229,9.03361278746691e-09
"GO:0002449 lymphocyte mediated immunity",1.14771331073184e-08,5.75261089342454,1.14771331073184e-08,1.99334847807905e-06,154,1.14771331073184e-08
"GO:0002443 leukocyte mediated immunity",1.99910548195711e-08,5.61246353854177,1.9991054819571e-08,3.33850615486835e-06,194,1.99910548195711e-08
"GO:0070661 leukocyte proliferation",2.82239877007004e-08,5.55948230753329,2.82239877007007e-08,4.45324840186374e-06,190,2.82239877007005e-08
"GO:0030217 T cell differentiation",2.87174010253765e-08,5.57403051637225,2.87174010253765e-08,4.45324840186374e-06,161,2.87174010253765e-08
"GO:0002697 regulation of immune effector process",1.2061463484603e-07,5.25519736842009,1.2061463484603e-07,1.80589222241883e-05,215,1.2061463484603e-07
"GO:0002521 leukocyte differentiation",2.08104497124281e-07,5.11875782549181,2.08104497124281e-07,3.01196575504543e-05,331,2.08104497124282e-07
"GO:0050670 regulation of lymphocyte proliferation",5.58199449429765e-07,4.99505575555084,5.58199449429767e-07,7.81839357878725e-05,143,5.58199449429765e-07
"GO:0032944 regulation of mononuclear cell proliferation",5.77029967628836e-07,4.9869150226011,5.77029967628837e-07,7.82957537326379e-05,144,5.77029967628836e-07
"GO:0042098 T cell proliferation",6.17061127199435e-07,4.98002920628319,6.17061127199439e-07,8.1190285281817e-05,128,6.17061127199435e-07
"GO:0070663 regulation of leukocyte proliferation",7.27232349079238e-07,4.93289455450459,7.27232349079243e-07,9.28718488147668e-05,149,7.27232349079238e-07
"GO:0002703 regulation of leukocyte mediated immunity",7.5886751782129e-07,4.98680304831597,7.58867517821292e-07,9.41429360680014e-05,91,7.5886751782129e-07
"GO:0002706 regulation of lymphocyte mediated immunity",7.96570158473518e-07,5.02753281255531,7.96570158473513e-07,9.60752118914442e-05,73,7.96570158473518e-07
"GO:0002819 regulation of adaptive immune response",1.27909328384423e-06,4.87434273316794,1.27909328384423e-06,0.000150103325363558,90,1.27909328384423e-06
"GO:0006954 inflammatory response",1.73886030846481e-06,4.66859694818157,1.73886030846481e-06,0.000198687669983005,477,1.73886030846481e-06
"GO:0002822 regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",1.82347580220477e-06,4.81294571878382,1.82347580220477e-06,0.000203013639312131,82,1.82347580220477e-06
"GO:0046631 alpha-beta T cell activation",2.06301653827246e-06,4.77901684352775,2.06301653827246e-06,0.000223940445229476,88,2.06301653827246e-06
"GO:0001816 cytokine production",2.47089056818673e-06,4.59815120975945,2.47089056818672e-06,0.000261673337733335,419,2.47089056818672e-06
"GO:0050864 regulation of B cell activation",2.58049218463927e-06,4.75029856084018,2.58049218463928e-06,0.000262976996776276,83,2.58049218463927e-06
"GO:0045619 regulation of lymphocyte differentiation",2.60433230340393e-06,4.69718550585995,2.60433230340393e-06,0.000262976996776276,103,2.60433230340393e-06
