"","p.geomean","stat.mean","p.val","q.val","set.size","exp1"
"GO:0006091 generation of precursor metabolites and energy",1.52101803102249e-07,-5.16519055593704,1.5210180310225e-07,0.000660426029069968,450,1.52101803102249e-07
"GO:0007507 heart development",2.13466854253513e-06,-4.63516548077938,2.13466854253514e-06,0.00463436540584378,384,2.13466854253513e-06
"GO:0015980 energy derivation by oxidation of organic compounds",6.34499767872569e-06,-4.40467586872143,6.3449976787257e-06,0.00911099230281611,329,6.3449976787257e-06
"GO:0061024 membrane organization",8.39336002101896e-06,-4.33158061668991,8.39336002101899e-06,0.00911099230281611,428,8.39336002101896e-06
"GO:0016044 cellular membrane organization",1.58156726261024e-05,-4.18687176536227,1.58156726261025e-05,0.0137343301085074,423,1.58156726261024e-05
"GO:0006412 translation",3.44868858499052e-05,-4.00570610617063,3.44868858499053e-05,0.0249570097267148,458,3.44868858499052e-05
"GO:0006006 glucose metabolic process",7.38814727046308e-05,-3.83450110030519,7.3881472704631e-05,0.0380897481329325,209,7.38814727046308e-05
"GO:0019941 modification-dependent protein catabolic process",7.97605818394047e-05,-3.8017697697326,7.97605818394052e-05,0.0380897481329325,387,7.97605818394048e-05
"GO:0006511 ubiquitin-dependent protein catabolic process",8.17650479647765e-05,-3.79586196661821,8.17650479647766e-05,0.0380897481329325,381,8.17650479647764e-05
"GO:0043632 modification-dependent macromolecule catabolic process",8.77239708266525e-05,-3.77734950575973,8.77239708266525e-05,0.0380897481329325,390,8.77239708266525e-05
"GO:0048193 Golgi vesicle transport",9.95774126123211e-05,-3.77683333773424,9.95774126123214e-05,0.0393059205056999,181,9.95774126123211e-05
"GO:0019318 hexose metabolic process",0.00011514480515258,-3.71447206594988,0.00011514480515258,0.0416632286643751,245,0.00011514480515258
"GO:0006457 protein folding",0.000135814811934847,-3.67840950797073,0.000135814811934847,0.0433582569911523,213,0.000135814811934847
"GO:0045333 cellular respiration",0.000143790700920859,-3.68499628958715,0.000143790700920859,0.0433582569911523,162,0.000143790700920859
"GO:0016051 carbohydrate biosynthetic process",0.000149786700798545,-3.65874952693196,0.000149786700798545,0.0433582569911523,164,0.000149786700798545
"GO:0051603 proteolysis involved in cellular protein catabolic process",0.000185063138346836,-3.5806521435986,0.000185063138346836,0.0502215091688726,408,0.000185063138346836
"GO:0003007 heart morphogenesis",0.000215482918726884,-3.55663293914001,0.000215482918726885,0.0522305065623018,177,0.000215482918726884
"GO:0061061 muscle structure development",0.000216524439917419,-3.53313187164364,0.000216524439917419,0.0522305065623018,461,0.000216524439917419
"GO:0044262 cellular carbohydrate metabolic process",0.000246232820021669,-3.51500304359656,0.000246232820021669,0.0562706791860046,210,0.000246232820021669
"GO:0022900 electron transport chain",0.000268864565575854,-3.5187810206129,0.000268864565575853,0.0576882650392508,149,0.000268864565575853
"GO:0035966 response to topologically incorrect protein",0.000283776080974232,-3.50048076325327,0.000283776080974233,0.0576882650392508,140,0.000283776080974233
"GO:0006986 response to unfolded protein",0.000294688356226279,-3.49256001133314,0.000294688356226278,0.0576882650392508,133,0.000294688356226279
"GO:0022904 respiratory electron transport chain",0.000305580399793361,-3.50772177897519,0.00030558039979336,0.0576882650392508,110,0.000305580399793361
"GO:0048729 tissue morphogenesis",0.000397157642861666,-3.36593891991409,0.000397157642861666,0.0679861236536417,479,0.000397157642861666
"GO:0018279 protein N-linked glycosylation via asparagine",0.000412459995437483,-3.42312742029904,0.000412459995437483,0.0679861236536417,92,0.000412459995437483
"GO:0044257 cellular protein catabolic process",0.000421814888171151,-3.353997386773,0.000421814888171151,0.0679861236536417,422,0.000421814888171151
"GO:0005996 monosaccharide metabolic process",0.000431421569198178,-3.35252321160895,0.000431421569198178,0.0679861236536417,269,0.000431421569198178
