"","p.geomean","stat.mean","p.val","q.val","set.size","exp1"
"GO:0046649 lymphocyte activation",1.61113248844762e-12,7.06376181750896,1.61113248844761e-12,6.99553726483953e-09,459,1.61113248844762e-12
"GO:0042110 T cell activation",3.44520659743294e-11,6.63310986613446,3.44520659743296e-11,7.47954352302695e-08,330,3.44520659743294e-11
"GO:0051249 regulation of lymphocyte activation",1.47758469510606e-09,6.03073371300579,1.47758469510606e-09,1.74473983256151e-06,285,1.47758469510606e-09
"GO:0002694 regulation of leukocyte activation",1.60731444731599e-09,6.00402528443966,1.607314447316e-09,1.74473983256151e-06,325,1.60731444731598e-09
"GO:0050778 positive regulation of immune response",3.01554569791585e-09,5.88986288372884,3.01554569791585e-09,2.29506477163125e-06,347,3.01554569791586e-09
"GO:0050865 regulation of cell activation",3.17143911326287e-09,5.8807932959221,3.1714391132629e-09,2.29506477163125e-06,350,3.17143911326287e-09
"GO:0002250 adaptive immune response",8.67168331050573e-09,5.76315036260944,8.67168331050571e-09,5.37892127631655e-06,187,8.67168331050572e-09
"GO:0050863 regulation of T cell activation",1.11137832928733e-08,5.7011126746657,1.11137832928733e-08,6.03200588220697e-06,217,1.11137832928733e-08
"GO:0002768 immune response-regulating cell surface receptor signaling pathway",3.18146647431513e-08,5.56618289798141,3.18146647431512e-08,1.51187572068515e-05,134,3.18146647431513e-08
"GO:0030098 lymphocyte differentiation",3.48198001079031e-08,5.48369097254733,3.48198001079031e-08,1.51187572068515e-05,227,3.48198001079031e-08
"GO:0002460 adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",4.71177172778054e-08,5.45688157905426,4.71177172778054e-08,1.85986480382028e-05,169,4.71177172778054e-08
"GO:0002429 immune response-activating cell surface receptor signaling pathway",9.78718419875235e-08,5.35571508981331,9.7871841987524e-08,3.54132948258191e-05,124,9.78718419875236e-08
"GO:0002252 immune effector process",1.07393577036253e-07,5.22741911011934,1.07393577036254e-07,3.58694547301087e-05,442,1.07393577036253e-07
"GO:0030217 T cell differentiation",2.56901716176414e-07,5.12699689379776,2.56901716176416e-07,7.96762322598569e-05,161,2.56901716176414e-07
"GO:0050851 antigen receptor-mediated signaling pathway",2.76369021568832e-07,5.15299638312643,2.76369021568832e-07,7.9999619443458e-05,116,2.76369021568833e-07
"GO:0002696 positive regulation of leukocyte activation",3.27791412287821e-07,5.04898347420567,3.27791412287821e-07,8.89543945096074e-05,220,3.27791412287821e-07
"GO:0050867 positive regulation of cell activation",3.96355317483885e-07,5.00699645367315,3.96355317483884e-07,0.000101233811089119,230,3.96355317483885e-07
"GO:0042113 B cell activation",4.22900054535772e-07,5.01957966535515,4.22900054535773e-07,0.000102012890933018,169,4.22900054535772e-07
"GO:0050870 positive regulation of T cell activation",4.92136753332661e-07,4.9941489723168,4.92136753332662e-07,0.000112466199103706,160,4.92136753332662e-07
"GO:0002443 leukocyte mediated immunity",5.81671206580222e-07,4.94059286564155,5.81671206580226e-07,0.000114396146518788,194,5.81671206580221e-07
"GO:0051251 positive regulation of lymphocyte activation",5.82744666893856e-07,4.9373501292509,5.82744666893859e-07,0.000114396146518788,203,5.82744666893857e-07
"GO:0002449 lymphocyte mediated immunity",5.94996702821853e-07,4.95690361304568,5.94996702821857e-07,0.000114396146518788,154,5.94996702821853e-07
"GO:0002764 immune response-regulating signaling pathway",6.05967611684045e-07,4.91651207535041,6.05967611684046e-07,0.000114396146518788,241,6.05967611684044e-07
"GO:0002253 activation of immune response",8.94476917400971e-07,4.82726076136284,8.9447691740097e-07,0.000161825782306459,281,8.9447691740097e-07
"GO:0002697 regulation of immune effector process",1.6630842615836e-06,4.71172583250304,1.6630842615836e-06,0.000288844474551839,215,1.6630842615836e-06
"GO:0002757 immune response-activating signal transduction",1.99670312082051e-06,4.66870661337355,1.99670312082052e-06,0.000333449421177027,229,1.99670312082051e-06
"GO:0002703 regulation of leukocyte mediated immunity",2.09457374984337e-06,4.74747905264104,2.09457374984337e-06,0.000336838489697034,91,2.09457374984337e-06
"GO:0002706 regulation of lymphocyte mediated immunity",2.6594482828212e-06,4.7302318930077,2.65944828282119e-06,0.000412404444428915,73,2.6594482828212e-06
"GO:0046631 alpha-beta T cell activation",6.49895280607693e-06,4.49107803886833,6.49895280607695e-06,0.000973050106344349,88,6.49895280607693e-06
"GO:0002819 regulation of adaptive immune response",7.73831106083375e-06,4.44419760773928,7.73831106083375e-06,0.00108864652969222,90,7.73831106083375e-06
"GO:0046651 lymphocyte proliferation",7.97952032146064e-06,4.37576758164724,7.97952032146064e-06,0.00108864652969222,180,7.97952032146063e-06
"GO:0045619 regulation of lymphocyte differentiation",8.02318953250826e-06,4.42129294453923,8.02318953250829e-06,0.00108864652969222,103,8.02318953250827e-06
"GO:0032943 mononuclear cell proliferation",1.17003905553345e-05,4.28640172088141,1.17003905553344e-05,0.00153948775125037,182,1.17003905553344e-05
"GO:0002822 regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",1.22159597110039e-05,4.34579989277907,1.22159597110039e-05,0.00156004991368173,82,1.22159597110039e-05
"GO:0032609 interferon-gamma production",1.33257616335014e-05,4.33639230909645,1.33257616335014e-05,0.00165315591464752,75,1.33257616335014e-05
"GO:0042100 B cell proliferation",1.71759233862367e-05,4.3083498755211,1.71759233862367e-05,0.00207160720397333,60,1.71759233862367e-05
"GO:0006968 cellular defense response",1.86243325092522e-05,4.30403372265887,1.86243325092522e-05,0.00218559058797765,57,1.86243325092522e-05
"GO:0070661 leukocyte proliferation",2.24444302183555e-05,4.12980202475164,2.24444302183557e-05,0.00256457147389738,190,2.24444302183555e-05
"GO:0050864 regulation of B cell activation",2.7519530156031e-05,4.14195478342761,2.75195301560311e-05,0.00306384102403812,83,2.7519530156031e-05
"GO:0031294 lymphocyte costimulation",3.80752337839482e-05,4.08958952772399,3.80752337839482e-05,0.00413306662724758,65,3.80752337839482e-05
"GO:0045580 regulation of T cell differentiation",3.9992998201661e-05,4.05288520518882,3.9992998201661e-05,0.00423535605345395,80,3.99929982016609e-05
"GO:0050852 T cell receptor signaling pathway",4.35121257870379e-05,4.01548250943375,4.35121257870379e-05,0.00436703049242363,91,4.35121257870379e-05
