"","p.geomean","stat.mean","p.val","q.val","set.size","exp1"
"GO:0006643 membrane lipid metabolic process",0.00170474451979985,-2.96193681734073,0.00170474451979986,0.820042700992187,160,0.00170474451979986
"GO:0006665 sphingolipid metabolic process",0.00321351367819952,-2.7603199646336,0.00321351367819953,0.820042700992187,120,0.00321351367819952
"GO:0060271 cilium morphogenesis",0.00324058149723547,-2.76739289591494,0.00324058149723548,0.820042700992187,107,0.00324058149723547
"GO:0006790 sulfur compound metabolic process",0.00347663035374333,-2.7158268203926,0.00347663035374334,0.820042700992187,229,0.00347663035374333
"GO:0019080 viral genome expression",0.0035982965914355,-2.72209057190003,0.00359829659143551,0.820042700992187,149,0.0035982965914355
"GO:0019083 viral transcription",0.0035982965914355,-2.72209057190003,0.00359829659143551,0.820042700992187,149,0.0035982965914355
"GO:0006664 glycolipid metabolic process",0.0049265836897477,-2.62092752809255,0.0049265836897477,0.820042700992187,99,0.0049265836897477
"GO:0007283 spermatogenesis",0.00513913799210076,-2.57321600576539,0.00513913799210077,0.820042700992187,374,0.00513913799210076
"GO:0048232 male gamete generation",0.00522830810954815,-2.5671852580979,0.00522830810954815,0.820042700992187,375,0.00522830810954815
"GO:0042384 cilium assembly",0.00602571631972272,-2.55800513836955,0.00602571631972272,0.820042700992187,79,0.00602571631972272
"GO:0007276 gamete generation",0.00615611498004309,-2.50822658241721,0.0061561149800431,0.820042700992187,480,0.00615611498004309
"GO:0006520 cellular amino acid metabolic process",0.00645243352279925,-2.49234896781458,0.00645243352279925,0.820042700992187,457,0.00645243352279925
"GO:0072594 establishment of protein localization to organelle",0.00715261536364082,-2.46815446973271,0.00715261536364082,0.820042700992187,210,0.00715261536364081
"GO:0007586 digestion",0.00773305326230044,-2.44046353670344,0.00773305326230045,0.820042700992187,116,0.00773305326230044
"GO:0007605 sensory perception of sound",0.007954173661451,-2.43205687104166,0.00795417366145101,0.820042700992187,127,0.007954173661451
"GO:0043687 post-translational protein modification",0.0084991357270484,-2.40214028698652,0.00849913572704841,0.820042700992187,192,0.00849913572704839
"GO:0006687 glycosphingolipid metabolic process",0.00852482040290604,-2.43494412786628,0.00852482040290604,0.820042700992187,61,0.00852482040290604
"GO:0070972 protein localization to endoplasmic reticulum",0.00863273398776258,-2.41098354734758,0.00863273398776259,0.820042700992187,121,0.00863273398776259
"GO:0019058 viral infectious cycle",0.00867982146188936,-2.39279565667654,0.00867982146188936,0.820042700992187,225,0.00867982146188936
"GO:0043624 cellular protein complex disassembly",0.00887513408267801,-2.39205674358848,0.00887513408267802,0.820042700992187,156,0.00887513408267801
"GO:0050954 sensory perception of mechanical stimulus",0.00930956497284548,-2.37134354189875,0.0093095649728455,0.820042700992187,136,0.00930956497284548
"GO:0006281 DNA repair",0.00957382086052679,-2.35077589710718,0.00957382086052679,0.820042700992187,393,0.00957382086052678
"GO:0003006 developmental process involved in reproduction",0.0100849712046024,-2.32848710339135,0.0100849712046024,0.820042700992187,410,0.0100849712046024
"GO:0044711 single-organism biosynthetic process",0.0111003658831199,-2.29146893361979,0.0111003658831199,0.820042700992187,462,0.0111003658831199
"GO:0009100 glycoprotein metabolic process",0.0120879330430076,-2.26143338952117,0.0120879330430076,0.820042700992187,364,0.0120879330430076
"GO:0044283 small molecule biosynthetic process",0.0128328271903691,-2.23560483775632,0.0128328271903691,0.820042700992187,450,0.0128328271903691
"GO:0032984 macromolecular complex disassembly",0.0136078987741619,-2.2230837295377,0.0136078987741619,0.820042700992187,182,0.0136078987741619
"GO:0048515 spermatid differentiation",0.0137077351038843,-2.23034487068308,0.0137077351038843,0.820042700992187,80,0.0137077351038843
"GO:0007224 smoothened signaling pathway",0.0145148818387689,-2.20594194845699,0.0145148818387689,0.820042700992187,87,0.0145148818387689
"GO:0044708 single-organism behavior",0.0151116101020693,-2.17245686966509,0.0151116101020693,0.820042700992187,338,0.0151116101020693
"GO:0031424 keratinization",0.0158896534860639,-2.18558361038646,0.0158896534860639,0.820042700992187,41,0.0158896534860639
"GO:0046661 male sex differentiation",0.0161855318030992,-2.15345046358059,0.0161855318030992,0.820042700992187,121,0.0161855318030992
"GO:0043241 protein complex disassembly",0.0162195979879263,-2.15402223276741,0.0162195979879263,0.820042700992187,161,0.0162195979879263
"GO:0072044 collecting duct development",0.0167813085610508,-2.29133879344251,0.0167813085610508,0.820042700992187,12,0.0167813085610508
"GO:0007286 spermatid development",0.0174995680503613,-2.13147500600388,0.0174995680503613,0.820042700992187,75,0.0174995680503613
"GO:0000956 nuclear-transcribed mRNA catabolic process",0.0178132964824067,-2.11719365697478,0.0178132964824067,0.820042700992187,169,0.0178132964824067
"GO:0045137 development of primary sexual characteristics",0.0182661941030459,-2.09856256865512,0.0182661941030459,0.820042700992187,208,0.0182661941030459
"GO:0007389 pattern specification process",0.0185236912970496,-2.08910095036101,0.0185236912970496,0.820042700992187,425,0.0185236912970496
"GO:0006749 glutathione metabolic process",0.0186411672650413,-2.11489305243827,0.0186411672650413,0.820042700992187,47,0.0186411672650413
"GO:0072599 establishment of protein localization to endoplasmic reticulum",0.0186775190550763,-2.1064484858453,0.0186775190550763,0.820042700992187,108,0.0186775190550763
"GO:0007156 homophilic cell adhesion",0.0193134186578936,-2.08042697088251,0.0193134186578936,0.820042700992187,136,0.0193134186578936
"GO:0006518 peptide metabolic process",0.0194450770095187,-2.08304931818764,0.0194450770095188,0.820042700992187,90,0.0194450770095187
"GO:0006414 translational elongation",0.0194712742280101,-2.08961002025124,0.0194712742280101,0.820042700992187,107,0.0194712742280101
"GO:0000184 nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",0.0197519401198565,-2.08155996723541,0.0197519401198565,0.820042700992187,116,0.0197519401198565
"GO:0007548 sex differentiation",0.0197662757599542,-2.06502872671694,0.0197662757599542,0.820042700992187,239,0.0197662757599542
