"","p.geomean","stat.mean","p.val","q.val","set.size","exp1"
"GO:0046649 lymphocyte activation",3.46892533790638e-11,6.60185633714987,3.46892533790642e-11,1.50620738171897e-07,459,3.46892533790637e-11
"GO:0042110 T cell activation",1.95153023253471e-08,5.56099218196784,1.95153023253468e-08,3.08609679969716e-05,330,1.95153023253471e-08
"GO:0050778 positive regulation of immune response",2.13226402558533e-08,5.54193895501262,2.13226402558533e-08,3.08609679969716e-05,347,2.13226402558533e-08
"GO:0051249 regulation of lymphocyte activation",5.03089581853458e-08,5.39638351428385,5.03089581853458e-08,5.46103741101928e-05,285,5.03089581853457e-08
"GO:0002694 regulation of leukocyte activation",1.32556484565862e-07,5.20230599448647,1.32556484565863e-07,0.000115112051196995,325,1.32556484565862e-07
"GO:0050865 regulation of cell activation",2.03003253219642e-07,5.11515628858962,2.03003253219641e-07,0.000146906687579947,350,2.03003253219642e-07
"GO:0002253 activation of immune response",5.09606920761103e-07,4.94283231879018,5.096069207611e-07,0.000316101892849243,281,5.09606920761103e-07
"GO:0050863 regulation of T cell activation",7.18610437342279e-07,4.88823146322329,7.18610437342282e-07,0.000390025814867523,217,7.1861043734228e-07
"GO:0002768 immune response-regulating cell surface receptor signaling pathway",1.0160088198918e-06,4.85824926118898,1.0160088198918e-06,0.000490167810663357,134,1.0160088198918e-06
"GO:0042113 B cell activation",1.58404892802367e-06,4.74830174956916,1.58404892802367e-06,0.000542861284006997,169,1.58404892802367e-06
"GO:0002429 immune response-activating cell surface receptor signaling pathway",1.65013048596443e-06,4.76126482699267,1.65013048596443e-06,0.000542861284006997,124,1.65013048596443e-06
"GO:0050851 antigen receptor-mediated signaling pathway",1.69516348824735e-06,4.76360601734062,1.69516348824735e-06,0.000542861284006997,116,1.69516348824735e-06
"GO:0002764 immune response-regulating signaling pathway",1.71658483489889e-06,4.69816348994451,1.7165848348989e-06,0.000542861284006997,241,1.71658483489889e-06
"GO:0046651 lymphocyte proliferation",1.75035881531506e-06,4.71702334224252,1.75035881531505e-06,0.000542861284006997,180,1.75035881531506e-06
"GO:0032943 mononuclear cell proliferation",1.96873146870596e-06,4.69048225471301,1.96873146870596e-06,0.000569882135808086,182,1.96873146870596e-06
"GO:0050870 positive regulation of T cell activation",2.29337354439247e-06,4.66336752938478,2.29337354439246e-06,0.000622364245609505,160,2.29337354439247e-06
"GO:0002757 immune response-activating signal transduction",2.77126211022678e-06,4.59759648625483,2.77126211022678e-06,0.00070781294603557,229,2.77126211022678e-06
"GO:0002250 adaptive immune response",3.47196296446682e-06,4.56212072708775,3.47196296446681e-06,0.000837514621761939,187,3.47196296446682e-06
"GO:0051251 positive regulation of lymphocyte activation",4.23423842737166e-06,4.5112124428258,4.23423842737165e-06,0.00090232541144122,203,4.23423842737166e-06
"GO:0030098 lymphocyte differentiation",4.30405340306513e-06,4.50127238786265,4.30405340306513e-06,0.00090232541144122,227,4.30405340306513e-06
"GO:0050867 positive regulation of cell activation",4.36407960393036e-06,4.49775302947659,4.36407960393036e-06,0.00090232541144122,230,4.36407960393036e-06
"GO:0002696 positive regulation of leukocyte activation",5.23627866363987e-06,4.45929290625117,5.23627866363987e-06,0.00100620477135421,220,5.23627866363987e-06
"GO:0070661 leukocyte proliferation",5.32996539409186e-06,4.46651098687803,5.32996539409186e-06,0.00100620477135421,190,5.32996539409186e-06
"GO:0002460 adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",1.22744075892182e-05,4.28096855022803,1.22744075892183e-05,0.0022206449063494,169,1.22744075892182e-05
"GO:0050670 regulation of lymphocyte proliferation",1.57693404867049e-05,4.23328918064555,1.5769340486705e-05,0.00273881905573093,143,1.57693404867049e-05
